ID_Atendimento;Tempo_Medio_Atendimento;Assunto_Atendimento;Chamado;Improcedente;Mais_de_um_protocolo;Acionou_suporte_focal
127503;00:04:13;Transferencia;Nao;;Nao;Sim
127504;00:26:01;LCD;Sim;Nao;Nao;Sim
127505;00:07:40;Transferencia;Nao;;Sim;Sim
127506;00:07:40;Transferencia;Nao;;Sim;Sim
127507;00:05:00;Transferencia;Nao;;Sim;Sim
127508;00:05:00;Transferencia;Nao;;Sim;Sim
127509;00:12:15;C&R;Nao;;Nao;Nao
127510;00:07:44;C&R;Nao;;Nao;Nao
127511;00:27:33;LCD;Sim;Nao;Nao;Sim
127512;00:08:04;Manutencao;Nao;;Nao;Nao
127513;00:03:25;Transferencia;Nao;;Sim;Sim
127514;00:03:25;Transferencia;Nao;;Sim;Sim
127515;00:10:29;C&R;Nao;;Sim;Nao
127516;00:10:29;Transferencia;Nao;;Sim;Sim
127517;00:10:29;Transferencia;Nao;;Sim;Sim
127518;00:10:27;Manutencao;Nao;;Nao;Nao
127519;00:04:55;Transferencia;Nao;;Sim;Sim
127520;00:04:55;Transferencia;Nao;;Sim;Sim
127521;00:00:10;Queda Atendimento;Nao;;Nao;Nao
127522;00:12:03;C&R;Nao;;Nao;Nao
127523;00:21:14;LCD;Nao;;Sim;Nao
127524;00:21:14;C&R;Nao;;Sim;Nao
127525;00:26:08;C&R;Nao;;Nao;Nao
127526;00:26:08;Manutencao;Nao;;Nao;Nao
127527;00:57:52;C&R;Sim;Nao;Nao;Sim
127528;00:06:58;LCD;Nao;;Nao;Nao
127529;00:19:24;LCD;Nao;;Nao;Nao
127530;00:13:08;C&R;Nao;;Nao;Nao
127531;00:31:17;C&R;Sim;Nao;Nao;Sim
127532;00:10:46;Transferencia;Nao;;Sim;Sim
127533;00:10:46;Transferencia;Nao;;Sim;Sim
127534;00:04:40;Transferencia;Nao;;Sim;Sim
127535;00:04:40;Transferencia;Nao;;Sim;Sim
127536;00:08:01;Transferencia;Nao;;Sim;Sim
127537;00:08:01;Transferencia;Nao;;Sim;Sim
127538;00:19:10;Manutencao;Nao;;Nao;Nao
127539;00:18:26;Manutencao;Nao;;Nao;Nao
127540;00:23:14;C&R;Sim;Nao;Nao;Sim
127541;00:11:58;C&R;Nao;;Nao;Nao
127542;00:11:17;C&R;Nao;;Nao;Nao
127543;00:00:52;Queda Atendimento;Nao;;Nao;Nao
127544;00:14:50;Transferencia;Nao;;Sim;Sim
127545;00:14:50;Transferencia;Nao;;Sim;Sim
127546;00:07:21;Transferencia;Nao;;Sim;Sim
127547;00:07:21;Transferencia;Nao;;Sim;Sim
127548;00:35:51;Manutencao;Nao;;Nao;Nao
127549;00:18:54;C&R;Nao;;Nao;Nao
127550;00:23:06;C&R;Sim;Nao;Nao;Sim
127551;00:14:21;Transferencia;Nao;;Sim;Sim
127552;00:14:21;Transferencia;Nao;;Sim;Sim
127553;00:21:11;LCD;Nao;;Nao;Nao
127554;00:13:04;LCD;Nao;;Nao;Nao
127555;00:04:02;Transferencia;Nao;;Sim;Sim
127556;00:04:02;Transferencia;Nao;;Sim;Sim
127557;00:14:39;LCD;Nao;;Nao;Nao
127558;00:15:47;LCD;Nao;;Sim;Nao
127559;00:15:47;Transferencia;Nao;;Sim;Sim
127560;00:15:47;Transferencia;Nao;;Sim;Sim
127561;00:09:47;Transferencia;Nao;;Sim;Sim
127562;00:09:47;Transferencia;Nao;;Sim;Sim
127563;00:10:02;Transferencia;Nao;;Sim;Sim
127564;00:10:02;Transferencia;Nao;;Sim;Sim
127565;00:14:39;C&R;Nao;;Sim;Nao
127566;00:14:39;Manutencao;Nao;;Sim;Nao
127567;00:14:39;LCD;Nao;;Sim;Nao
127568;00:07:51;Transferencia;Nao;;Sim;Sim
127569;00:07:51;Transferencia;Nao;;Sim;Sim
127570;00:29:48;LCD;Sim;Nao;Nao;Sim
127571;00:10:54;LCD;Nao;;Nao;Nao
127572;00:17:47;Manutencao;Nao;;Nao;Nao
127573;00:14:13;LCD;Nao;;Nao;Nao
127574;00:05:35;Transferencia;Nao;;Sim;Sim
127575;00:05:35;Transferencia;Nao;;Sim;Sim
127576;00:42:02;Manutencao;Sim;Nao;Nao;Sim
127577;00:16:40;Transferencia;Nao;;Sim;Sim
127578;00:16:40;Transferencia;Nao;;Sim;Sim
127579;00:07:52;LCD;Nao;;Nao;Nao
127580;00:10:04;C&R;Nao;;Sim;Nao
127581;00:10:04;Manutencao;Nao;;Sim;Nao
127582;00:10:04;Manutencao;Nao;;Sim;Nao
127583;00:13:01;Transferencia;Nao;;Sim;Sim
127584;00:13:01;Transferencia;Nao;;Sim;Sim
127585;00:20:40;LCD;Nao;;Sim;Nao
127586;00:20:40;Transferencia;Nao;;Sim;Sim
127587;00:20:40;Transferencia;Nao;;Sim;Sim
127588;00:04:58;Queda Atendimento;Nao;;Nao;Nao
127589;00:10:56;LCD;Nao;;Sim;Nao
127590;00:10:56;LCD;Nao;;Sim;Nao
127591;00:10:56;Manutencao;Nao;;Sim;Nao
127592;00:11:19;C&R;Nao;;Nao;Nao
127593;00:11:05;C&R;Nao;;Sim;Nao
127594;00:11:05;LCD;Nao;;Sim;Nao
127595;00:11:05;Manutencao;Nao;;Sim;Nao
127596;00:11:05;Manutencao;Nao;;Sim;Nao
127597;00:12:10;LCD;Nao;;Sim;Nao
127598;00:12:10;LCD;Nao;;Sim;Nao
127599;00:14:13;C&R;Nao;;Nao;Nao
127600;00:09:43;Manutencao;Nao;;Nao;Nao
127601;00:15:51;C&R;Nao;;Nao;Nao
127602;00:09:53;C&R;Nao;;Sim;Nao
127603;00:09:53;Transferencia;Nao;;Sim;Sim
127604;00:09:53;Transferencia;Nao;;Sim;Sim
127605;00:21:58;LCD;Nao;;Nao;Nao
127606;00:14:19;C&R;Nao;;Nao;Nao
127607;00:34:42;C&R;Sim;Nao;Nao;Sim
127608;00:14:20;C&R;Nao;;Nao;Nao
127609;00:19:18;Manutencao;Nao;;Nao;Nao
127610;00:05:55;LCD;Nao;;Nao;Nao
127611;00:05:55;Transferencia;Nao;;Sim;Sim
127612;00:05:55;Transferencia;Nao;;Sim;Sim
127613;00:04:39;Transferencia;Nao;;Sim;Sim
127614;00:04:39;Transferencia;Nao;;Sim;Sim
127615;00:09:09;C&R;Nao;;Nao;Nao
127616;00:07:44;LCD;Nao;;Nao;Nao
127617;00:04:19;Transferencia;Nao;;Sim;Sim
127618;00:04:19;Transferencia;Nao;;Sim;Sim
127619;00:13:19;LCD;Nao;;Nao;Nao
127620;00:04:27;Transferencia;Nao;;Sim;Sim
127621;00:04:27;Transferencia;Nao;;Sim;Sim
127622;00:10:57;C&R;Nao;;Nao;Nao
127623;00:29:39;LCD;Sim;Nao;Nao;Sim
127624;00:23:56;LCD;Nao;;Nao;Nao
127625;00:26:36;LCD;Sim;Nao;Nao;Sim
127626;00:08:10;Transferencia;Nao;;Sim;Sim
127627;00:08:10;Transferencia;Nao;;Sim;Sim
127628;00:08:02;Transferencia;Nao;;Sim;Sim
127629;00:08:02;Transferencia;Nao;;Sim;Sim
127630;00:01:45;Queda Atendimento;Nao;;Nao;Nao
127631;00:04:55;Transferencia;Nao;;Sim;Sim
127632;00:04:55;Transferencia;Nao;;Sim;Sim
127633;00:19:55;Manutencao;Nao;;Sim;Nao
127634;00:19:55;Transferencia;Nao;;Sim;Sim
127635;00:19:55;Transferencia;Nao;;Sim;Sim
127636;00:14:46;LCD;Nao;;Nao;Nao
127637;00:14:41;C&R;Nao;;Nao;Nao
127638;00:26:36;Manutencao;Nao;;Nao;Nao
127639;00:11:38;Transferencia;Nao;;Sim;Sim
127640;00:11:38;Transferencia;Nao;;Sim;Sim
127641;00:21:51;LCD;Nao;;Nao;Nao
127642;00:09:10;LCD;Nao;;Sim;Nao
127643;00:09:10;Manutencao;Nao;;Sim;Nao
127644;00:09:10;Manutencao;Nao;;Sim;Nao
127645;00:09:10;Transferencia;Nao;;Sim;Sim
127646;00:09:10;Transferencia;Nao;;Sim;Sim
127647;00:04:24;LCD;Nao;;Nao;Nao
127648;00:21:47;C&R;Sim;;Nao;Sim
127649;00:10:54;C&R;Nao;;Sim;Nao
127650;00:10:54;C&R;Nao;;Sim;Nao
127651;00:09:33;LCD;Nao;;Nao;Nao
127652;00:00:00;Queda Atendimento;Nao;;Nao;Nao
127653;00:05:19;C&R;Nao;;Nao;Nao
127654;00:00:27;Queda Atendimento;Nao;;Nao;Nao
127655;00:00:05;Queda Atendimento;Nao;;Nao;Nao
127656;00:11:17;C&R;Nao;;Sim;Nao
127657;00:11:17;Transferencia;Nao;;Sim;Sim
127658;00:11:17;Transferencia;Nao;;Sim;Sim
127659;00:14:06;C&R;Nao;;Sim;Nao
127660;00:14:06;C&R;Nao;;Sim;Nao
127661;00:04:56;Transferencia;Nao;;Sim;Sim
127662;00:04:56;Transferencia;Nao;;Sim;Sim
127663;00:06:30;LCD;Nao;;Sim;Nao
127664;00:06:30;LCD;Nao;;Sim;Nao
127665;00:06:30;LCD;Nao;;Sim;Nao
127666;00:06:30;C&R;Nao;;Sim;Nao
127667;01:06:45;C&R;Sim;Nao;Nao;Sim
127668;00:00:27;Queda Atendimento;Nao;;Nao;Nao
127669;00:24:09;LCD;Nao;;Nao;Nao
127670;00:15:46;C&R;Nao;;Sim;Nao
127671;00:15:46;Manutencao;Nao;;Sim;Nao
127672;00:16:35;C&R;Nao;;Sim;Nao
127673;00:07:00;C&R;Nao;;Nao;Nao
127674;00:29:04;C&R;Sim;Nao;Nao;Sim
127675;00:11:03;C&R;Nao;;Nao;Nao
127676;00:13:01;C&R;Nao;;Nao;Nao
127677;00:05:06;Transferencia;Nao;;Sim;Sim
127678;00:05:06;Transferencia;Nao;;Sim;Sim
